Id;País;ano;Quantidade (Kg)
1;Africa do Sul;1970;0
2;Alemanha;1970;0
3;Argentina;1970;4980
4;Austrália;1970;0
5;Áustria;1970;0
6;Bermudas;1970;0
7;Bahamas;1970;0
8;Bélgica;1970;0
9;Brasil;1970;0
10;Bulgária;1970;0
11;Canada;1970;0
12;Chile;1970;0
13;Croácia;1970;0
14;Cuba;1970;0
15;Emirados Árabes Unidos;1970;0
16;Eslovênia;1970;0
17;Espanha;1970;12981
18;Estados Unidos;1970;0
19;França;1970;18458
20;Geórgia;1970;0
21;Granada;1970;0
22;Grécia;1970;0
23;Hong Kong;1970;0
24;Hungria;1970;0
25;Indonésia;1970;0
26;Irlanda;1970;0
27;Israel;1970;0
28;Itália;1970;0
29;Japão;1970;0
30;Luxemburgo;1970;0
31;México;1970;0
32;Moldávia;1970;0
33;Nova Zelândia;1970;0
34;Países Baixos;1970;0
35;Panamá;1970;0
36;Peru;1970;0
37;Portugal;1970;1603
38;Reino Unido;1970;0
39;Romênia;1970;0
40;Suíça;1970;0
41;Tunísia;1970;0
42;Ucrânia;1970;0
43;Uruguai;1970;0
44;Não consta na tabela;1970;0
45;Não declarados;1970;0
46;Outros;1970;291
1;Africa do Sul;1970;0
2;Alemanha;1970;0
3;Argentina;1970;3836
4;Austrália;1970;0
5;Áustria;1970;0
6;Bermudas;1970;0
7;Bahamas;1970;0
8;Bélgica;1970;0
9;Brasil;1970;0
10;Bulgária;1970;0
11;Canada;1970;0
12;Chile;1970;0
13;Croácia;1970;0
14;Cuba;1970;0
15;Emirados Árabes Unidos;1970;0
16;Eslovênia;1970;0
17;Espanha;1970;8568
18;Estados Unidos;1970;0
19;França;1970;45798
20;Geórgia;1970;0
21;Granada;1970;0
22;Grécia;1970;0
23;Hong Kong;1970;0
24;Hungria;1970;0
25;Indonésia;1970;0
26;Irlanda;1970;0
27;Israel;1970;0
28;Itália;1970;0
29;Japão;1970;0
30;Luxemburgo;1970;0
31;México;1970;0
32;Moldávia;1970;0
33;Nova Zelândia;1970;0
34;Países Baixos;1970;0
35;Panamá;1970;0
36;Peru;1970;0
37;Portugal;1970;2240
38;Reino Unido;1970;0
39;Romênia;1970;0
40;Suíça;1970;0
41;Tunísia;1970;0
42;Ucrânia;1970;0
43;Uruguai;1970;0
44;Não consta na tabela;1970;0
45;Não declarados;1970;0
46;Outros;1970;1859
1;Africa do Sul;1971;0
2;Alemanha;1971;25
3;Argentina;1971;8811
4;Austrália;1971;0
5;Áustria;1971;0
6;Bermudas;1971;0
7;Bahamas;1971;0
8;Bélgica;1971;0
9;Brasil;1971;0
10;Bulgária;1971;0
11;Canada;1971;0
12;Chile;1971;0
13;Croácia;1971;0
14;Cuba;1971;0
15;Emirados Árabes Unidos;1971;0
16;Eslovênia;1971;0
17;Espanha;1971;7865
18;Estados Unidos;1971;0
19;França;1971;26523
20;Geórgia;1971;0
21;Granada;1971;0
22;Grécia;1971;0
23;Hong Kong;1971;0
24;Hungria;1971;0
25;Indonésia;1971;0
26;Irlanda;1971;0
27;Israel;1971;360
28;Itália;1971;554
29;Japão;1971;0
30;Luxemburgo;1971;0
31;México;1971;0
32;Moldávia;1971;0
33;Nova Zelândia;1971;0
34;Países Baixos;1971;0
35;Panamá;1971;0
36;Peru;1971;0
37;Portugal;1971;2054
38;Reino Unido;1971;0
39;Romênia;1971;0
40;Suíça;1971;0
41;Tunísia;1971;0
42;Ucrânia;1971;0
43;Uruguai;1971;0
44;Não consta na tabela;1971;0
45;Não declarados;1971;0
46;Outros;1971;3772
1;Africa do Sul;1971;0
2;Alemanha;1971;36
3;Argentina;1971;7543
4;Austrália;1971;0
5;Áustria;1971;0
6;Bermudas;1971;0
7;Bahamas;1971;0
8;Bélgica;1971;0
9;Brasil;1971;0
10;Bulgária;1971;0
11;Canada;1971;0
12;Chile;1971;0
13;Croácia;1971;0
14;Cuba;1971;0
15;Emirados Árabes Unidos;1971;0
16;Eslovênia;1971;0
17;Espanha;1971;5230
18;Estados Unidos;1971;0
19;França;1971;72645
20;Geórgia;1971;0
21;Granada;1971;0
22;Grécia;1971;0
23;Hong Kong;1971;0
24;Hungria;1971;0
25;Indonésia;1971;0
26;Irlanda;1971;0
27;Israel;1971;349
28;Itália;1971;485
29;Japão;1971;0
30;Luxemburgo;1971;0
31;México;1971;0
32;Moldávia;1971;0
33;Nova Zelândia;1971;0
34;Países Baixos;1971;0
35;Panamá;1971;0
36;Peru;1971;0
37;Portugal;1971;3090
38;Reino Unido;1971;0
39;Romênia;1971;0
40;Suíça;1971;0
41;Tunísia;1971;0
42;Ucrânia;1971;0
43;Uruguai;1971;0
44;Não consta na tabela;1971;0
45;Não declarados;1971;0
46;Outros;1971;2358
1;Africa do Sul;1972;0
2;Alemanha;1972;2864
3;Argentina;1972;35301
4;Austrália;1972;0
5;Áustria;1972;0
6;Bermudas;1972;0
7;Bahamas;1972;0
8;Bélgica;1972;0
9;Brasil;1972;0
10;Bulgária;1972;0
11;Canada;1972;0
12;Chile;1972;201
13;Croácia;1972;0
14;Cuba;1972;0
15;Emirados Árabes Unidos;1972;0
16;Eslovênia;1972;0
17;Espanha;1972;27461
18;Estados Unidos;1972;0
19;França;1972;35899
20;Geórgia;1972;0
21;Granada;1972;0
22;Grécia;1972;0
23;Hong Kong;1972;0
24;Hungria;1972;0
25;Indonésia;1972;0
26;Irlanda;1972;0
27;Israel;1972;0
28;Itália;1972;5054
29;Japão;1972;0
30;Luxemburgo;1972;0
31;México;1972;0
32;Moldávia;1972;0
33;Nova Zelândia;1972;0
34;Países Baixos;1972;0
35;Panamá;1972;0
36;Peru;1972;0
37;Portugal;1972;12768
38;Reino Unido;1972;0
39;Romênia;1972;0
40;Suíça;1972;0
41;Tunísia;1972;0
42;Ucrânia;1972;0
43;Uruguai;1972;0
44;Não consta na tabela;1972;0
45;Não declarados;1972;0
46;Outros;1972;576
1;Africa do Sul;1972;0
2;Alemanha;1972;2479
3;Argentina;1972;26909
4;Austrália;1972;0
5;Áustria;1972;0
6;Bermudas;1972;0
7;Bahamas;1972;0
8;Bélgica;1972;0
9;Brasil;1972;0
10;Bulgária;1972;0
11;Canada;1972;0
12;Chile;1972;192
13;Croácia;1972;0
14;Cuba;1972;0
15;Emirados Árabes Unidos;1972;0
16;Eslovênia;1972;0
17;Espanha;1972;20026
